"1.1a  Bevolking buurten, 1 januari 2014-2018",,,,,,,
,,,,,2018,,
E16c Frederik Hendrikbuurt Zuidwest,1246,1266,1276,1266,1241,584,657
E17a Da Costabuurt Noord,4659,4661,4688,4742,4705,2358,2347
E18a Bellamybuurt Noord,2922,2985,2823,2799,2828,1496,1332
E18b Bellamybuurt Zuid,3207,3223,3535,3592,3764,1853,1911
E19a Da Costabuurt Zuid,2238,2281,2241,2205,2226,1175,1051
E19b Borgerbuurt,2905,2910,2889,2857,2887,1376,1511
E19c Lootsbuurt,1934,1940,1948,1923,1877,935,942
E20a Helmersbuurt Oost,2633,2684,2714,2666,2624,1257,1367
E20b WG-terrein,2566,2561,2538,2534,2517,1230,1287
E20c Cremerbuurt Oost,2275,2282,2254,2270,2270,1104,1166
E21a Cremerbuurt West,5573,5575,5621,5674,5682,2793,2889
E21b Vondelparkbuurt West,2147,2172,2167,2133,2209,1043,1166
E22a Vondelparkbuurt Oost,959,975,937,935,937,492,445
E22b Vondelparkbuurt Midden,905,923,931,962,925,454,471
E36a Woon- en groengebied Sloterdijk,102,399,415,432,421,227,194
E36b Bedrijventerrein Sloterdijk I,94,104,100,97,86,67,19
E37a Bedrijventerrein Landlust,246,303,308,307,502,258,244
E37c Bosleeuw,5567,5594,5882,5832,5734,2755,2979
E37d Landlust Zuid,4116,4165,4141,3983,3810,1905,1905
E37e Erasmusparkbuurt Oost,1957,1993,2021,2000,1964,980,984
E37f Gibraltarbuurt,4139,4166,4245,4187,4243,2159,2084
E37g Landlust Noord,2553,2521,2485,2343,2318,1138,1180
E38c Erasmusparkbuurt West,4011,4102,4085,4000,4051,1954,2097
E38d Robert Scottbuurt Oost,1764,1796,1806,1765,1799,874,925
E39a Robert Scottbuurt West,1792,1764,2123,2129,2118,995,1123
E39b Laan van Spartaan,1275,1357,1387,1765,2102,1031,1071
E39c Kolenkitbuurt Zuid,2332,2115,2192,2154,2138,1066,1072
E39d Kolenkitbuurt Noord,3894,3984,3875,3870,3723,1895,1828
E40a Geuzenhofbuurt,1706,1677,1683,1683,1682,786,896
E40b Trompbuurt,3193,3202,3244,3285,3295,1568,1727
E40c Pieter van der Doesbuurt,1876,1872,1913,1967,1926,983,943
E41a John Franklinbuurt,1912,1950,1940,1932,1934,945,989
E41b Jan Maijenbuurt,2331,2299,2301,2288,2256,1071,1185
E41c Orteliusbuurt Noord,1407,1381,1409,1389,1393,690,703
E41d Mercatorpark,1019,1119,1342,1368,1575,1184,391
E42a Balboaplein e.o.,3118,3170,3148,3161,3119,1552,1567
E42b Columbusplein e.o.,3563,3549,3585,3601,3491,1795,1696
E42c Orteliusbuurt Midden,1864,1858,1913,1951,1942,939,1003
E42d Orteliusbuurt Zuid,1837,1863,1835,1906,1860,888,972
E43a Paramariboplein e.o.,3668,3780,3825,3884,3879,1869,2010
E43b Postjeskade e.o.,2936,3013,3113,3060,3071,1475,1596
E75a Kortenaerkwartier,2190,2242,2256,2207,2239,1131,1108
E75b Filips van Almondekwartier,1105,1101,1104,1130,1104,560,544
E75c De Wester Quartier,1827,1836,1829,1825,1839,900,939
E75d Van Brakelkwartier,1067,1055,1057,1049,1061,472,589
F11a Sloterdijk II,17,11,9,19,23,14,9
F11c Sloterdijk III Oost,-,-,-,1,2,2,-
F11d Sloterdijk III West,22,29,35,47,77,59,18
F11e De Heining,29,28,27,27,28,17,11
F11f Teleport,19,33,32,52,393,256,137
F11h Bretten Oost,3,2,1,1,2,2,-
F11j Bretten West,2,1,2,2,-,-,-
F76a Buurt 3,6104,6135,6095,6019,6056,3123,2933
F76b Buurt 2,3347,3334,3379,3391,3243,1691,1552
F77a Slotermeer Zuid,3376,3399,3381,3409,3410,1833,1577
F77b Noordoever Sloterplas,2798,2800,2806,2805,3196,1578,1618
F77c Buurt 4 Oost,3387,3487,3586,3621,3703,1875,1828
F77d Buurt 5  Noord,3729,3757,3801,3809,3779,1917,1862
F77e Sloterpark,-,-,-,-,-,-,-
F77f Buurt 5 Zuid,3303,3572,3716,3733,3875,1950,1925
F78a Buurt 6,3174,3196,3175,3115,3016,1507,1509
F78b Buurt 7,2106,2093,2231,2434,2594,1317,1277
F78c Buurt 8,3756,3841,4042,4049,3854,1913,1941
F78d Buurt 9,5083,5667,5791,5886,5943,2999,2944
F78e Eendrachtspark,249,244,239,243,303,178,125
F79a Osdorper Binnenpolder,25,29,31,31,29,19,10
F79b Buurt 10,2312,2300,2361,2430,2414,1193,1221
F80a Ookmeer,6,7,5,14,10,9,1
F80b Osdorper Bovenpolder,801,805,808,805,795,400,395
F80c Bedrijvenpark Lutkemeer,43,35,37,48,63,38,25
F81a Wildeman,4851,4891,4987,4966,5010,2446,2564
F81b Meer en Oever,3065,3127,3140,3095,3136,1593,1543
F81c Osdorpplein e.o.,3067,2866,2768,2883,2970,1448,1522
F81d Calandlaan/Lelylaan,1202,1203,1246,1249,1247,642,605
F81e Osdorp Zuidoost,3662,3669,3789,3923,3945,1861,2084
F82a Osdorp Midden Noord,3000,3240,3199,3271,3196,1483,1713
F82b Osdorp Midden Zuid,3219,3318,3383,3389,3437,1676,1761
F82c Zuidwestkwadrant Osdorp Noord,3064,3132,3126,3131,3192,1563,1629
F82d Zuidwestkwadrant Osdorp Zuid,5872,6053,6175,6218,6237,3122,3115
F83a De Punt,5169,5415,5813,5916,5959,3044,2915
F83b Bedrijvencentrum Osdorp,83,79,84,81,115,104,11
F84a Middelveldsche Akerpolder,3699,3722,3767,3821,3897,1882,2015
F84b De Aker West,4650,4627,4624,4573,4587,2290,2297
F84c De Aker Oost,6031,6054,6097,6051,6052,3003,3049
F85a Oostoever Sloterplas,2518,2532,2544,2501,2479,1214,1265
F85b Emanuel van Meterenbuurt,2097,2157,2153,2167,2241,1082,1159
F85c Jacob Geelbuurt,3298,3296,3293,3229,3279,1698,1581
