,OBJECTID_1,text,created,Description,longitude,latitude,hashtag,statusSour
16,28.0,"What. A. Show. <U+0001F525>
Thats it, thats all I have to say until Ive processed the experience! <U+0001F60D> #beautifultrauma #pink https://t.co/50OxfMVQmN",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
17,29.0,Thanks for the amazing show @pink !! #beautifultraumatour2019 #amsterdam @ Johan Cruijff ArenA https://t.co/azCSmXuhQx,2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
18,30.0,#beautifultraumatour #donthussleme #perfect #pink #p!nk #amsterdam #amsterdamarena #concert #pinklive @pink @ Johan https://t.co/EgTuI6UbGv,2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
19,31.0,"@pink

#pink #p!nk #beautifultraumatour #kickoff #worldtour #rockstar #concert #highlight #amsterdam https://t.co/jAnqH9PpvG",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
20,32.0,"You were absolutely amazing! <U+0001F929>


#beautifultraumatour2019 #amsterdam<U+0001F1F3><U+0001F1F1> #nofilter @ Johan Cruijff ArenA https://t.co/rc1x3Nsj6f",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
21,33.0,"You were absolutely amazing! <U+0001F929>


#beautifultraumatour2019 #amsterdam<U+0001F1F3><U+0001F1F1> #nofilter
@stewartsgalaxy @xxveert @ Johan https://t.co/UJN1fLlzyn",2019-06-17,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
22,34.0,"Si no hay ninguna pregunta más, buenos días y hasta pronto. <U+0001F609><U+0001F31E> 

#Amsterdam #Holanda #Elche #España #RuedaDePrensa https://t.co/cB99ZnWJYK",2019-06-23,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
23,35.0,"#throwback to last year when i saw OTR II for the second time <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F><U+0001F451><U+0001F41D> itsmeanoush 
.
.
.
.
.
.
.
#OTRII #ontherun https://t.co/UFBKN5qZtM",2019-06-19,tourist,4.94219791,52.31391977,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
24,36.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Kloekhorststraat Amsterdam
 https://t.co/BJSTz5fDIb",2019-06-23,non-tourist,4.970202,52.317679,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
25,37.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Gooiseweg Amsterdam
 https://t.co/oZKri1Y82R",2019-06-18,non-tourist,4.961802,52.318562,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
