,OBJECTID_1,text,created,Description,longitude,latitude,hashtag,statusSour
0,1.0,"hallo uitzicht, nieuwe kamer #view #amsterdam<U+0001F1F3><U+0001F1F1> #stilllife #lookoftheday @ Academisch Medisch Centrum https://t.co/aEMJa5deHu",2019-06-22,tourist,4.95728079,52.29454653,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
1,2.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Reigersbos Amsterdam
 https://t.co/VNEvmFsQjY",2019-06-19,non-tourist,4.975605000000001,52.29673,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
2,3.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel A9 Re - Gaasperdammerweg Amsterdam
 https://t.co/6vXK6pJsHP",2019-06-20,non-tourist,4.939711,52.299223,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
3,4.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Hullenbergweg Amsterdam
 https://t.co/FXWOxYNsa0",2019-06-17,non-tourist,4.9506373,52.3037928,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
4,5.0,"It's almost midnight in #Amsterdam on the Summer #Solstice, and there's still light on the horizon. https://t.co/WycVxEmB3I",2019-06-21,tourist,4.94931189,52.30755377,amsterdam,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"
5,6.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Holterbergweg Amsterdam
 https://t.co/aTBUzpCOuF",2019-06-18,non-tourist,4.937718,52.311013,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
6,7.0,Almost forgot to post from my recent #Netherlandic adventure: Guess who happened to be playing #Amsterdam my first https://t.co/vZqOPZyvwT,2019-06-17,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
7,8.0,"Bier en boyband, op volgorde van belangrijkheid. Als decadente VIPs bij takethat! #bier #takethat #live #afaslive https://t.co/GSVmraUpgn",2019-06-17,non-tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
8,9.0,Hilarisch foute avond bij takethat <U+0001F602> #takethat #waarisrobbie #afaslive #amsterdam #boyband @ AFAS Live https://t.co/GOiuTXLjxf,2019-06-17,non-tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
9,10.0,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen https://t.co/9D5HZU9Tn9,2019-06-18,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
10,11.0,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen https://t.co/KFBWX98cVh,2019-06-19,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
11,12.0,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen https://t.co/9NXNc7UegX,2019-06-19,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
12,13.0,Monday 17th June: Amsterdam takethat @GaryBarlow markowenofficial howarddonald #takethat #garybarlow #markowen https://t.co/RXsCXQA4Sm,2019-06-19,tourist,4.94418881,52.31227874,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
13,24.0,#AMSTERDAM We hear you &amp; were heading your way!! Catch us on June 30th at the @OHMyMusicFest along with @TreySongz https://t.co/gwfl9wVLCT,2019-06-24,tourist,4.94177594,52.31232359,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
14,26.0,You got to love her. @pink #amsterdam #arena #beautifulday #concert #worldtour #beautifultrauma @ Johan Cruijff Are https://t.co/M43TK9Yqb2,2019-06-16,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
15,27.0,How cool is Pink?!!!<U+2764><U+FE0F> @pink #beautifultrauma @AmsterdamArenA #amsterdam @ Johan Cruijff ArenA https://t.co/rz1F8BAS6B,2019-06-16,tourist,4.94205522,52.31386193,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
