"","formatted_address","name","place_id","lat","lng"
"38","Handelsplein 3, 1181 WC Amstelveen, Netherlands","MANGO","ChIJBzgEAIcKxkcRt1z9SlMaN-g",52.3012282,4.866369
"39","Ruiseveenpad 30, 1106 AM Amsterdam, Netherlands","Slagerij Dirk van der Vliet B.V.","ChIJ1brG1YcMxkcRadXcjwIP56I",52.2969467,4.9748986
"40","Efua Sutherlandstraat 5, 1103 MP Amsterdam, Netherlands","Cash And Glory Tattoos and Piercing","ChIJa1qBq28MxkcRiB8LYKzkhlo",52.3212613,4.9679846
"41","Korte Dwarsweg 9A, 1191 LE Ouderkerk aan de Amstel, Netherlands","the Melktap","ChIJjZLsqKcLxkcRHv9ZfCSbwqQ",52.3034761,4.9261689
"42","Vinkenkade 75, 3645 AP Vinkeveen, Netherlands","Koffiehuis De Goede Morgen","ChIJO_6-RFFzxkcRA0mnYfHy0yk",52.2514181,4.9613066
"43","ArenA Boulevard 2- 4, 1101 DJ Amsterdam, Netherlands","Auping Plaza Amsterdam","ChIJbxlZp6ILxkcRmFnFA03hCJs",52.3120516,4.938396
"44","Rembrandthof 11, 1181 ZL Amstelveen, Netherlands","MANGO","ChIJqYrHfYAKxkcR1mrm27yFePQ",52.3036658,4.8599763
"45","Bijlmerdreef 1148, 1103 JV Amsterdam, Netherlands","GSM shop Bijlmerdreef","ChIJK09bFQsMxkcRiwQyaowFrLM",52.3221879,4.9711657
"46","Hollandse Kade 36, 1391 JM Abcoude, Netherlands","Bosch Car Service Abcoude / Garage Abcoude BV","ChIJU8_lspcMxkcRFD2vFj1SuTk",52.2798998,4.9752455
"47","Hoogstraat 17, 1391 BR Abcoude, Netherlands","Ter Stege Food Boutique","ChIJF2_7r7sMxkcRB3c5lnJQewY",52.2706826,4.9744241
"48","Heesterveld 18, 1102 SB Amsterdam, Netherlands","Fallé Studio's","ChIJ85MiYoQLxkcRUY5ZabTMRe0",52.306533,4.953637
"49","Rembrandtweg 41 A, 1181 GE Amstelveen, Netherlands","Zara","ChIJfbhe6YAKxkcRxAUyjIxI7hQ",52.3024834,4.8612558
"50","Hoogoorddreef 9, 1101 BA Amsterdam, Netherlands","Hout Coatings","ChIJtSqKO5oLxkcRC1VTSzJlBkQ",52.3094649,4.9455009
"51","Gelderlandplein 155-157, 1082 LW Amsterdam, Netherlands","Esprit","ChIJK1-08REKxkcRrGX76R5wRlw",52.3307211,4.8776108
"52","Pampusweg 7, 1398 PT Muiden, Netherlands","C&A","ChIJ3zc8nNQNxkcRDLKnihQUz-I",52.3343774,5.0209169
"53","Leeuwenveldseweg 1, 1382 LV Weesp, Netherlands","The Body Shop Belgium B.V.","ChIJfw19bZYNxkcRv1pB8j-81ew",52.3116523,5.045942
"54","Binnenhof 12, 1181 ZG Amstelveen, Netherlands","G-Star RAW Store","ChIJCzf-6oAKxkcRHc-0Alyxbqc",52.3025808,4.8614703
"55","Pampusweg 20, 1398 PV Muiden, Netherlands","Sports World","ChIJZ04PVNMNxkcR3KBhXOorg8M",52.3343647,5.0220141
"56","Gallerij 152 ZS, 1181 Amstelveen, Netherlands","Ralph Lauren","ChIJC_1pgIAKxkcRXIywOjB3MSI",52.3040058,4.8603691
"57","Wisseloord 97, 1106 MA Amsterdam, Netherlands","Primera Vlaskamp","ChIJGVxu2YoMxkcRKAfoAlmIUp8",52.2964448,4.9870155
"58","Bijlmerplein 149, 1102 DB Amsterdam, Netherlands","T-Mobile","ChIJd8z1No4LxkcRRwtIyuZCsoo",52.314091,4.953099
"59","Binnenhof 24, 1184 ZH Amstelveen, Netherlands","Levi's® Store Amstelveen Binnenhof","ChIJ0ZX5bqsLxkcRI7So9X9817Q",52.302242,4.862431
"60","Galerij 152, 1181 ZS Amstelveen, Netherlands","Maje Corner Debijenkorf","ChIJi7qm45sLxkcR5yDV9PAWAts",52.3040058,4.8603691
"65","Ruiseveenpad 58, 1106 AN Amsterdam, Netherlands","Tedmers World Changers","ChIJ59Hx6ogMxkcRxCX6mBsmhM4",52.2970917,4.9758941
