"","�..HOTELNAAM_2014","NHC_2014","KAM_2014","BED_2014","STRAAT_2014","HUISID_2014","POSTCODE_2014","BRTK10","unesco","Soort_hotel_hostel..jeugdherberg","lat","lon"
"56","DAM CITY ACCOMMODATION","1",3,8,"OUDE HOOGSTRAAT","7A-B","1012CD","A00c","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3712479,"4.8977771"
"57","MALLE MOOLEN HOTEL,DE","1",13,33,"WARMOESSTRAAT","7","1012HT","A00a","B","hotel",52.3760843,"4.8993991"
"58","MISC EATDRINKSLEEP","2",6,12,"KLOVENIERSBURGWAL","20","1012CV","A00c","B","hotel",52.3717237,"4.8990066"
"59","OLD NICKEL HOTEL,THE","1",14,34,"NIEUWEBRUGSTEEG","11","1012AG","A00a","B","hotel",52.3762924,"4.8996007"
"60","BROUWER HOTEL","1",8,16,"SINGEL","83-85","1012VE","A01d","K","hotel",52.3762131,"4.8915129"
"61","AIVENGO YOUTH HOSTEL","0",2,38,"SPUISTRAAT","6","1012TS","A01b","K","hostel/ jeugdherberg",52.3773096,"4.8938665"
"62","SEVEN ONE SEVEN","4",9,18,"PRINSENGRACHT","717","1017JW","A03a","K","hotel",52.364791,"4.8853406"
"63","'T HOTEL LILY","3",8,18,"LELIEGRACHT","18","1015DE","A02b","K","hotel",52.3751614,"4.8871471"
"64","MUSEUM QUARTER,NH","4",163,326,"HOBBEMAKADE","50","1071XL","K50a","","hotel",52.3558245,"4.8861173"
"65","ZUIVER / AMSTELPARK HOTEL","3",31,62,"KOENENKADE","8","1081KH","K90e","","hotel",52.3310142,"4.8523466"
"66","IBIS AMSTERDAM CITY STOPERA","3",207,440,"VALKENBURGERSTRAAT","68","1011LZ","A04f","B","hotel",52.3699509,"4.9072635"
"67","MEVLANA HOTEL","1",16,28,"NIEUWEZIJDS VOORBURGWAL","160","1012SJ","A01d","B","hotel",52.374495,"4.8911049"
"68","SCHAGEN HOTEL","1",10,22,"NIEUWEBRUGSTEEG","19","1012AG","A00a","B","hotel",52.3759971,"4.9000316"
"69","WESTCORD AMSTERDAM ART 3-STERREN","3",130,260,"SPAARNDAMMERDIJK","302","1013ZX","E13f","","hotel",52.3927795,"4.8688489"
"70","TULIP INN AMSTERDAM CENTRE","3",108,229,"BEURSSTRAAT","11-19","1012JT","A00b","B","hotel",52.3748977,"4.8968197"
"71","KOOPERMOOLEN HOTEL,DE","2",23,43,"WARMOESSTRAAT","5","1012HT","A00a","B","hotel",52.3761027,"4.899487"
"72","BELLINGTON HOTEL","2",11,26,"PIETER CORNELISZ HOOFTSTRAAT","78","1071CB","K47b","","hotel",52.3603398,"4.8805905"
"73","HOTEL VICTORIE","2",28,55,"VICTORIEPLEIN","42","1078PH","K52d","","hotel",52.3463562,"4.9030981"
"74","AMSTERDAM HOUSE HOTEL EUREKA","3",31,60,"'S GRAVELANDSEVEER","3-4","1011KM","A04h","B","hotel",52.3677397,"4.8969679"
"75","HOTUSA OMEGA HOTEL","3",31,65,"JACOB OBRECHTSTRAAT","33","1071KG","K47c","","hotel",52.3558449,"4.875735"
"76","GOLDEN BEAR GAY HOTEL,THE","1",17,32,"KERKSTRAAT","37","1017GB","A02e","K","hotel",52.3656442,"4.8852135"
"77","WEBER HOTEL","2",7,14,"MARNIXSTRAAT","397","1017PJ","A07b","B","hotel",52.3649686,"4.8806113"
"78","TAMARA HOTEL","1",11,26,"NIEUWEZIJDS VOORBURGWAL","144","1012SJ","A01d","B","hotel",52.3748558,"4.8914092"
"79","V FREDERIKSPLEIN, HOTEL","3",48,96,"WETERINGSCHANS","136","1017XV","A07h","B","hotel",52.3591905,"4.8979554"
"80","BEST WESTERN APOLLO MUSEUMHOTEL AMSTERDAM CITY CENTRE","3",188,364,"PIETER CORNELISZ HOOFTSTRAAT","2-10","1071BX","K47b","","hotel",52.3594291,"4.8776192"
"81","PLANTAGE HOTEL","2",19,44,"PLANTAGE KERKLAAN","25","1018CV","A08c","B","hotel",52.3666615,"4.9117479"
"82","IMPERIAL HOTEL","2",14,31,"THORBECKEPLEIN","9","1017CS","A03c","K","hotel",52.3652784,"4.8960986"
"83","SIPERMANN HOTEL","2",17,33,"ROEMER VISSCHERSTRAAT","35","1054EW","E22a","","hotel",52.3612228,"4.8769249"
"84","ROOKIES, HOTEL THE","2",12,21,"KORTE LEIDSEDWARSSTRAAT","147","1017PZ","A07c","B","hotel",52.362266,"4.8861579"
"85","NH CARLTON AMSTERDAM","4",218,440,"VIJZELSTRAAT","4","1017HK","A03b","K","hotel",52.3654602,"4.8926884"
"86","BRONCKHORST HOTEL","3",37,73,"BRONCKHORSTSTRAAT","14","1071WR","K47f","","hotel",52.3531063,"4.8809813"
"87","LARENDE HOTEL","3",14,26,"DE CLERCQSTRAAT","115","1053AJ","E18a","","hotel",52.3698485,"4.8660187"
"88","OLD CITY AMSTERDAM B&B","0",5,10,"pieter jacobszdwarsstraat","7-11","1012HK","A00d","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3719961,"4.894611"
"89","DOUBLETREE BY HILTON AMSTERDAM CENTRAL STATION","4",553,1106,"OOSTERDOKSSTRAAT","4","1011DK","A04a","B","hotel",52.3765215,"4.9075701"
"90","PARKZICHT HOTEL","2",14,24,"ROEMER VISSCHERSTRAAT","33","1054EW","E22a","","hotel",52.3612411,"4.8769981"
"91","HTEL SERVICED APARTMENTS","0",45,147,"TEILINGEN","45","1082JP","K90c","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3274877,"4.8719001"
"92","EASTERN PARK APARTMENTS SUITES","0",10,20,"WIJTTENBACHSTRAAT","30","1093JC","M29b","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3601774,"4.9266591"
"93","HOLIDAY INN AMSTERDAM","4",266,576,"DE BOELELAAN","2","1083HJ","K91e","","hotel",52.3352599,"4.8886066"
"94","MERCURE AMSTERDAM ARTHUR FROMMER","4",93,186,"NOORDERSTRAAT","46","1017TV","A07e","B","hotel",52.3611838,"4.8936467"
"95","CARANSA HOTEL,NH","4",66,132,"REMBRANDTPLEIN","19","1017CT","A03e","B","hotel",52.3664488,"4.8970384"
"96","DIKKER & THIJS HOTEL","4",42,88,"PRINSENGRACHT","444","1017KE","A07c","K","hotel",52.365001,"4.8840169"
"97","NOVOTEL AMSTERDAM CITY","4",610,1220,"EUROPABOULEVARD","10","1083AD","K91c","","hotel",52.3289876,"4.8901874"
"98","OKURA HOTEL AMSTERDAM","5",300,599,"FERDINAND BOLSTRAAT","333","1072LH","K25c","","hotel",52.348557,"4.8930912"
"99","NH GALAXY","4",290,580,"DISTELKADE","21","1031XP","N60a","","hotel",52.3921832,"4.9109012"
"100","CONSCIOUS HOTEL MUSEUM SQUARE","3",36,79,"DE LAIRESSESTRAAT","5-7","1071NR","K47f","","hotel",52.3551387,"4.8777873"
"101","AC TULIP INN AMSTERDAM RIVERSIDE","3",192,396,"provincialeweg","38","1108AB","T95b","","hotel",52.3152456,"4.9960082"
"102","CONSCIOUS HOTEL VONDELPARK","3",81,163,"OVERTOOM","519-521","1054LH","E21b","","hotel",52.3578541,"4.8557024"
"103","TROPEN HOTEL,NH","3",80,160,"LINNAEUSSTRAAT","2C","1092CK","M28c","","hotel",52.361924,"4.922824"
"104","HESTIA HOTEL","3",18,36,"ROEMER VISSCHERSTRAAT","7","1054EV","E22a","","hotel",52.3615879,"4.8782127"
"105","FREELAND HOTEL","2",15,27,"MARNIXSTRAAT","386","1017PL","A07b","B","hotel",52.3648861,"4.8802596"
"106","PULITZER HOTEL, A LUXURY COLLECTION HOTEL","5",230,398,"PRINSENGRACHT","315","1016GZ","A02c","K","hotel",52.3750066,"4.8837106"
"107","ARMADA CANALVIEW HOTEL","2",26,56,"KEIZERSGRACHT","713-715","1017DX","A03d","K","hotel",52.3639937,"4.8982875"
"108","ATLAS HOTEL","3",23,45,"VAN EEGHENSTRAAT","64","1071GK","K47d","","hotel",52.3577402,"4.8738529"
"109","HAMPSHIRE HOTEL - THEATRE DISTRICT AMSTERDAM","3",70,132,"NASSAUKADE","387","1054AE","E20a","","hotel",52.3642307,"4.8783292"
"110","SWISSOTEL AMSTERDAM","4",109,218,"DAMRAK","96","1012LP","A01e","B","hotel",52.3735967,"4.8933617"
"111","OWL HOTEL","3",34,60,"ROEMER VISSCHERSTRAAT","1-3","1054EV","E22a","","hotel",52.3614095,"4.8771533"
"112","ARTEMIS HOTEL","4",256,512,"JOHN M.KEYNESPLEIN","2","1066EP","F88a","","hotel",52.3418622,"4.82480451662113"
"113","HOTEL NOTTING HILL","4",67,136,"WESTEINDE","26","1017ZP","A07h","B","hotel",52.3585018,"4.898785"
"114","CITY GARDEN HOTEL","3",72,111,"PIETER CORNELISZ HOOFTSTRAAT","162","1071CH","K47c","","hotel",52.3592071,"4.8763609"
"115","83 HOTEL","1",16,35,"OUDEZIJDS ACHTERBURGWAL","83","1012DC","A00c","B","hotel",52.3727101,"4.8984524"
"116","EUPHEMIA BUDGET HOTEL","1",30,108,"FOKKE SIMONSZSTRAAT","1-9","1017TD","A07e","B","hotel",52.3603975,"4.8925824"
"117","INTERNATIONAL BUDGET HOSTEL","0",14,68,"LEIDSEGRACHT","76","1016CR","A06h","K","hostel/ jeugdherberg",52.3660798,"4.8819638"
"118","FALCON PLAZA HOTEL","3",50,113,"VALKENBURGERSTRAAT","72","1011LZ","A04f","B","hotel",52.3700034,"4.9080674"
"119","HANS BRINKER HOTEL","0",126,502,"KERKSTRAAT","136-138","1017GR","A03c","K","hotel",52.3654468,"4.8853739"
"120","PARKLANE HOTEL","2",13,26,"PLANTAGE PARKLAAN","16","1018ST","A08c","B","hotel",52.3677147,"4.9099013"
"121","EUROPA 92 HOTEL","3",46,94,"Eerste+Constantijn+Huygensstraat","103","","E22a","","hotel",52.3624757,"4.8756773"
"122","BEST WESTERN DAM SQUARE INN","3",38,83,"GRAVENSTRAAT","12-16","1012NM","A01e","B","hotel",52.3743295,"4.8924485"
"123","SEVEN BRIDGES HOTEL","2",9,17,"REGULIERSGRACHT","31","1017LK","A03d","K","hotel",52.3638299,"4.8962158"
"124","QUENTIN HOTEL AMSTERDAM,THE","0",30,65,"LEIDSEKADE","89","1017PN","A07b","B","hotel",52.3642734,"4.8798849"
"125","CITIZENM HOTEL AMSTERDAM CITY","4",215,430,"PRINSES IRENESTRAAT","30","1077WX","K59a","","hotel",52.34194195,"4.87597212187505"
"126","TORENZICHT HOTEL","1",21,49,"OUDEZIJDS ACHTERBURGWAL","93","1012DD","A00c","B","hotel",52.3725204,"4.8982195"
"127","FLIPPER HOTEL","2",24,53,"BORSSENBURGSTRAAT","5","1078VA","K53b","","hotel",52.3488374,"4.9078776"
"128","VERDI HOTEL","2",12,25,"WANNINGSTRAAT","9","1071LA","K47c","","hotel",52.3567767,"4.8775926"
"129","BLOEIENDE RAMENAS, HOTEL CAFE","1",11,28,"HAARLEMMERDIJK","61","1013KB","A05c","K","hotel",52.3823801,"4.8875063"
"130","OOSTERPARK HOTEL","1",9,19,"OOSTERPARK","72","1092AS","M28c","","hotel",52.3615324,"4.9151762"
"131","ROKIN HOTEL","3",21,50,"ROKIN","73","1012KL","A00d","B","hotel",52.3706565,"4.8930714"
"132","GREENHOUSE HOTEL","2",9,19,"WARMOESSTRAAT","55","1012HW","A00a","B","hotel",52.3753211,"4.8982122"
"133","ASTERISK HOTEL","2",42,96,"DEN TEXSTRAAT","16","1017ZA","A07f","B","hotel",52.3588053,"4.8939373"
"134","ROYAL TASTE HOTEL","1",11,24,"OUDEZIJDS ACHTERBURGWAL","47","1012DB","A00c","B","hotel",52.3735134,"4.8992952"
"135","CRYSTAL HOTEL","2",17,34,"TWEEDE HELMERSSTRAAT","6","1054CH","E20a","","hotel",52.3650386,"4.878085"
"136","ACOSTAR HOTEL","2",30,61,"KERKSTRAAT","45-49","1017GB","A02e","K","hotel",52.3629419,"4.892067"
"137","ORFEO HOTEL","0",19,37,"LEIDSEKRUISSTRAAT","14","1017RH","A07c","K","hotel",52.3637658,"4.8852201"
"138","ANNEMARIE HOTEL","0",11,28,"JAN WILLEM BROUWERSSTR","14","1071LJ","K47c","","hotel",52.356555,"4.8782851"
"139","IRIS HOTEL","1",9,24,"SARPHATIKADE","17","1017WV","A07h","B","hotel",52.3590393,"4.902728"
"140","ZWAAN HOTEL,DE","0",8,14,"DORPSWEG RANSDORP","70","1028BR","N73f","","hotel",52.3935767,"4.9943182"
"141","RESIDENCE LE COIN HOTEL","3",42,77,"NIEUWE DOELENSTRAAT","5","1012CP","A00e","B","hotel",52.3678759,"4.8944091"
"142","CITY HOTEL UTRECHTSESTRAAT","0",13,52,"UTRECHTSESTRAAT","2","1017VN","A03e","K","hotel",52.3657224,"4.8974282"
"143","MARNIX HOTEL","0",25,74,"MARNIXSTRAAT","382","1016XX","A06j","B","hotel",52.3654698,"4.8798832"
"144","EDEN HOTEL AMSTERDAM","3",218,409,"AMSTEL","144","1017AE","A03e","B","hotel",52.3668596,"4.8986143"
"145","EDEN REMBRANDT SQUARE HOTEL","4",167,331,"AMSTELSTRAAT","17","1017DA","A03e","K","hotel",52.3661848,"4.8997065"
"146","HOTEL DWARS","3",9,24,"UTRECHTSEDWARSSTRAAT","79","1017WD","A07g","K","hotel",52.361642,"4.8996166"
"147","VIJAYA HOTEL","1",31,64,"OUDEZIJDS VOORBURGWAL","44","1012GE","A00b","B","hotel",52.3749963,"4.8992642"
"148","PRINSEN HOTEL","3",45,87,"VONDELSTRAAT","36-38","1054GE","E22a","","hotel",52.3618602,"4.8758105"
"149","CANAL HOUSE","4",23,49,"KEIZERSGRACHT","148","1015CX","A02b","K","hotel",52.3762724,"4.8863122"
"150","VOYAGERS HOTEL","0",11,25,"GELDERSEKADE","2","1012BH","A00a","B","hotel",52.3763379,"4.9020104"
"151","DEUTSCHES SEEMANNNSHEIM, STICHTING","0",6,8,"KEIZERSGRACHT","733","1017DZ","A03d","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3642743,"4.8993528"
"152","DOWNTOWN HOTEL","2",24,65,"KERKSTRAAT","25","1017GA","A02e","K","hotel",52.3658496,"4.8849029"
"153","BOUTIQUE HOTEL PATOU","3",12,24,"PIETER CORNELISZ HOOFTSTRAAT","63","1071BN","K47b","","hotel",52.3602398,"4.8813254"
"154","ALP HOTEL","2",15,33,"DE CLERCQSTRAAT","52","1052NH","E17a","","hotel",52.3709979,"4.8698964"
"155","VAN ONNA HOTEL","1",41,86,"BLOEMGRACHT","102-108","1015TN","A06c","B","hotel",52.3742668,"4.8793156"
"156","REMCO HOTEL","3",180,420,"REIMERSWAALSTRAAT","5","1069AE","F82a","","hotel",52.3624399,"4.7947555"
"157","AMSTERDAM APARTMENTS ALEXANDER'S","0",6,23,"RUYSDAELKADE","109","1072AN","K24d","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3550201,"4.8871834"
"158","CROYDON HOTEL","0",9,23,"WARMOESSTRAAT","75","1012HX","A00b","B","hotel",52.3749404,"4.8976479"
"159","ACACIA HOTEL","1",20,47,"LINDENGRACHT","251","1015KH","A06b","B","hotel",52.3794023,"4.8804903"
"160","DES ARTS HOTEL","2",22,55,"ROKIN","154-156","1012LE","A01h","B","hotel",52.3691257,"4.8921205"
"161","TOREN HOTEL","4",38,76,"KEIZERSGRACHT","164","1015CZ","A02b","K","hotel",52.3758754,"4.8859642"
"162","LA BOHEME HOTEL","2",18,39,"MARNIXSTRAAT","415","1017PK","A07b","B","hotel",52.3645482,"4.8811004"
"163","CC HOTEL","3",81,158,"WARMOESSTRAAT","40-42","1012JE","A00a","B","hotel",52.3754653,"4.8983388"
"164","SHELTER JORDAN CHRISTIAN HOSTEL","0",14,98,"BLOEMSTRAAT","179","1016LA","A06c","B","hostel/ jeugdherberg",52.3731508,"4.8772136"
"165","BOB'S YOUTH HOSTEL","0",16,138,"NIEUWEZIJDS VOORBURGWAL","92","1012SG","A01d","B","hostel/ jeugdherberg",52.3757862,"4.8925296"
"166","FLYING PIG UPTOWN HOSTEL,THE","0",20,118,"VOSSIUSSTRAAT","46","1071AJ","K47b","","hostel/ jeugdherberg",52.3603213,"4.8783887"
"167","FLYING PIG DOWNTOWN HOSTEL,THE","0",29,182,"NIEUWENDIJK","100","1012MR","A01c","B","hostel/ jeugdherberg",52.3766917,"4.8963084"
"168","ARENA HOTEL","4",116,232,"'S-GRAVESANDESTRAAT","51","1092AA","M28b","","hotel",52.3611136,"4.9156243"
"169","HOTEL FITA","3",15,27,"JAN LUIJKENSTRAAT","37","1071CL","K47b","","hotel",52.3592124,"4.8797227"
"170","LEIDSEPLEIN HOTEL,HET","1",12,40,"KORTE LEIDSEDWARSSTRAAT","79","1017PW","A07a","B","hotel",52.3639667,"4.8838378"
"171","NL HOTEL AMSTERDAM","3",13,26,"NASSAUKADE","368","1054AB","E20a","","hotel",52.3657034,"4.8780811"
"172","WINSTON HOTEL","2",67,183,"WARMOESSTRAAT","129","1012JA","A00b","B","hotel",52.3739521,"4.8965109"
"173","AROZA HOSTEL","0",9,29,"NIEUWENDIJK","23","1012LZ","A01b","B","hostel/ jeugdherberg",52.3784404,"4.8953638"
"174","SEBASTIAN'S HOTEL","3",34,71,"KEIZERSGRACHT","15-17","1015CC","A02a","K","hotel",52.3794801,"4.8900584"
"175","ART GALLERY HOTEL","2",18,34,"WETERINGSCHANS","67","1017RX","A07d","B","hotel",52.3615586,"4.8860966"
"176","STAYOKAY AMSTERDAM STADSDOELEN","0",13,176,"KLOVENIERSBURGWAL","97","1011KB","A04h","B","hostel/ jeugdherberg",52.3690294,"4.8973183"
"177","STAYOKAY AMSTERDAM VONDELPARK","0",105,536,"ZANDPAD","5","1054GA","E22a","","hostel/ jeugdherberg",52.361044,"4.8783698"
"178","LEIDSESQUARE LUXURY SUITES","0",5,20,"LEIDSEPLEIN","13-17","1017PS","A07c","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3636698,"4.8827394"
"179","POSTHOORN B&B","0",3,6,"PRINSENGRACHT","7","1015DK","A02a","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3799605,"4.8883385"
"180","CANAL VIEW APARTMENTS LEX","0",4,8,"LEIDSEGRACHT","74","1016CR","A06h","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3656053,"4.8808029"
"181","SASHA B&B AMSTERDAM CITY CENTER","0",3,6,"VIJZELSTRAAT","71","1017HG","A03c","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3646426,"4.8928156"
"182","WEST VIOLET B&B","0",3,6,"VIOLETTENSTRAAT","4","1015NP","A06b","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3787284,"4.8848889"
"183","IJ B&B","0",5,10,"ZEEBURGERDIJK","17 HS","1093SK","M29a","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.366117,"4.932853"
"184","LOOIER HOTEL,DE","3",28,68,"DERDE LOOIERSDWARSSTRAAT","75","1016VD","A06g","B","hotel",52.3683349,"4.8796625"
"185","GROENENDAEL HOTEL","0",16,30,"NIEUWENDIJK","15","1012LZ","A01b","B","hotel",52.3786013,"4.895142"
"186","HOTEL THE EXCHANGE","3",61,122,"DAMRAK","49-51","1012LL","A01e","B","hotel",52.3769214,"4.8982816"
"187","A-TRAIN HOTEL","3",34,73,"PRINS HENDRIKKADE","23","1012TM","A01b","B","hotel",52.3784357,"4.8963919"
"188","TITUS HOTEL","0",19,53,"LEIDSEKADE","74","1017PM","A07b","B","hotel",52.3649572,"4.880068"
"189","THE TIMES HOTEL","3",33,69,"HERENGRACHT","137","1015BG","A02b","K","hotel",52.3756404,"4.8890354"
